Level,ParentPath,AssemblyPath,LineType,PartNumber,PartName,PartKey,QuantityInThisLine,Quantity_in_Parent,OccurrenceLabel,OccurrenceInternalName,Placement,LinkedObjectName,LinkedObjectLabel,Volume_mm3,Area_mm2,BoundingBox_mm,CenterOfMass
3,Nissan GT-R/Fahrwerk/Rahmen komplett,Nissan GT-R/Fahrwerk/Rahmen komplett/Abdeckung vorne001,Occurrence(Link),,Abdeckung vorne,Solid001,2,2,Abdeckung vorne001,Link001,"Placement [Pos=(0,0,0), Yaw-Pitch-Roll=(0,0,0)]",Solid001,Abdeckung vorne,8639.342573,34961.94428,157.99999999999997 x 136.49999999999997 x 0.5,"Vector (0.48614810264729963, 5.723908014338621, 0.2500000000000001)"
3,Nissan GT-R/Fahrwerk/Rahmen komplett,Nissan GT-R/Fahrwerk/Rahmen komplett/SeitenfÃ¼hrung001,Occurrence(Link),,SeitenfÃ¼hrung,Solid002,2,2,SeitenfÃ¼hrung001,Link002,"Placement [Pos=(0,0,0), Yaw-Pitch-Roll=(0,0,0)]",Solid002,SeitenfÃ¼hrung,227818.9454,107188.1306,774.61880215 x 146.50000000000009 x 8.0,"Vector (55.328668403360915, -2.1483639838373865, 2.561458849462635e-14)"
3,Nissan GT-R/Fahrwerk/Rahmen komplett,Nissan GT-R/Fahrwerk/Rahmen komplett/AchsverstÃ¤rkung unten001,Occurrence(Link),,AchsverstÃ¤rkung unten,Solid003,3,3,AchsverstÃ¤rkung unten001,Link003,"Placement [Pos=(0,0,0), Yaw-Pitch-Roll=(0,0,0)]",Solid003,AchsverstÃ¤rkung unten,24529.3104,14071.36445,226.0 x 19.50000000000004 x 8.0,"Vector (-7.675120098769091e-15, 9.90781778376093, -8.976825869859194e-17)"
3,Nissan GT-R/Fahrwerk/Rahmen komplett,Nissan GT-R/Fahrwerk/Rahmen komplett/AchsverstÃ¤rkung oben001,Occurrence(Link),,AchsverstÃ¤rkung oben,Solid004,2,2,AchsverstÃ¤rkung oben001,Link004,"Placement [Pos=(0,0,0), Yaw-Pitch-Roll=(0,0,0)]",Solid004,AchsverstÃ¤rkung oben,14190.30445,7623.328296,226.0 x 8.000000000000039 x 8.0,"Vector (-3.076448841884727e-15, 4.000000000000013, -6.50321435924192e-17)"
3,Nissan GT-R/Fahrwerk/Rahmen komplett,Nissan GT-R/Fahrwerk/Rahmen komplett/Steg001,Occurrence(Link),,Steg,Solid005,2,2,Steg001,Link005,"Placement [Pos=(0,0,0), Yaw-Pitch-Roll=(0,0,0)]",Solid005,Steg,41117.13081,24134.3251,326.0 x 36.00000000000001 x 8.0,"Vector (1.4034889520257545e-14, 16.282829468700207, -1.6602204475061685e-16)"
3,Nissan GT-R/Fahrwerk/Rahmen komplett,Nissan GT-R/Fahrwerk/Rahmen komplett/Mitteltunnel,DirectPart,,Mitteltunnel,Solid006,1,1,Mitteltunnel,Solid006,"Placement [Pos=(0,0,0), Yaw-Pitch-Roll=(0,0,0)]",Solid006,Mitteltunnel,137763.0284,153108.3039,60.00000000000003 x 45.50000000000001 x 700.0000000000002,"Vector (3.343191002793056e-14, 29.716677393852365, -342.9574521123217)"
3,Nissan GT-R/Fahrwerk/Rahmen komplett,Nissan GT-R/Fahrwerk/Rahmen komplett/M4x017,Occurrence(Link),,M4x16,Solid007,54,54,M4x017,Link006,"Placement [Pos=(0,0,0), Yaw-Pitch-Roll=(0,0,0)]",Solid007,M4x16,330.8917903,384.2333451,20.0 x 7.0 x 7.0,"Vector (4.045039047131141, 1.610517599394883e-17, 4.742894089675306e-17)"
3,Nissan GT-R/Fahrwerk/Rahmen komplett,Nissan GT-R/Fahrwerk/Rahmen komplett/Achsstrebe hinten,DirectPart,,Achsstrebe hinten,Solid008,1,1,Achsstrebe hinten,Solid008,"Placement [Pos=(8.84709e-14,57.5,-632), Yaw-Pitch-Roll=(0,0,0)]",Solid008,Achsstrebe hinten,28709.47428,19044.54885,210.00000000000003 x 60.000000000000014 x 8.0,"Vector (0.00024519206905090413, 56.65053954525179, -631.9999971317114)"
3,Nissan GT-R/Fahrwerk/Rahmen komplett,Nissan GT-R/Fahrwerk/Rahmen komplett/Radhalter001,Occurrence(Link),,Radhalter,Solid009,6,6,Radhalter001,Link007,"Placement [Pos=(0,0,0), Yaw-Pitch-Roll=(0,0,0)]",Solid009,Radhalter,25424.67373,13845.98028,130.0 x 8.0 x 110.42991177749764,"Vector (4.743160695287452e-15, -3.563239386337203e-18, -50.73976462059951)"
3,Nissan GT-R/Fahrwerk/Rahmen komplett,Nissan GT-R/Fahrwerk/Rahmen komplett/Achsstrebe vorne,DirectPart,,Achsstrebe vorne,Solid010,1,1,Achsstrebe vorne,Solid010,"Placement [Pos=(5.20417e-14,57.5,-52), Yaw-Pitch-Roll=(0,0,0)]",Solid010,Achsstrebe vorne,18140.17963,13198.34759,210.00000000000003 x 60.00000000000017 x 8.0,"Vector (-0.0002892398705702415, 48.53224029222563, -52.00000253992354)"
